Working... ━                                          3% 0:02:00
         2807150 function calls (2787663 primitive calls) in 4.346 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 _codata.py:1(<module>)
      406    0.000    0.000    0.002    0.000 deprecation.py:9(wrap)
       13    0.000    0.000    0.002    0.000 rcsetup.py:401(validate_font_properties)
      602    0.001    0.000    0.002    0.000 copy.py:66(copy)
       10    0.000    0.000    0.002    0.000 _fontconfig_pattern.py:80(parse_fontconfig_pattern)
       10    0.000    0.000    0.002    0.000 core.py:5706(__init__)
        1    0.000    0.000    0.002    0.002 _mathtext.py:1(<module>)
      157    0.001    0.000    0.002    0.000 <frozen abc>:105(__new__)
        3    0.000    0.000    0.002    0.001 axis.py:412(__init__)
   306/12    0.000    0.000    0.002    0.000 core.py:809(_parseNoCache)
     30/9    0.000    0.000    0.002    0.000 core.py:4577(leave_whitespace)
       81    0.000    0.000    0.002    0.000 typing.py:702(Optional)
    72/12    0.000    0.000    0.002    0.000 core.py:4034(parseImpl)
        1    0.000    0.000    0.002    0.002 _csr.py:1(<module>)
        1    0.000    0.000    0.002    0.002 align.py:1(<module>)
       23    0.000    0.000    0.002    0.000 typing.py:2874(__new__)
    37602    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.002    0.002 font_manager.py:970(json_load)
        1    0.000    0.000    0.002    0.002 _array_like.py:1(<module>)
        1    0.000    0.000    0.002    0.002 backend_tools.py:1(<module>)
      564    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
 1490/493    0.002    0.000    0.002    0.000 _parser.py:174(getwidth)
      298    0.001    0.000    0.002    0.000 shape_base.py:1185(tile)
        1    0.000    0.000    0.002    0.002 __init__.py:274(load)
        1    0.000    0.000    0.002    0.002 theme.py:1(<module>)
      409    0.000    0.000    0.002    0.000 rcsetup.py:307(validate_color)
        1    0.000    0.000    0.002    0.002 fromnumeric.py:1(<module>)
       69    0.000    0.000    0.002    0.000 _make.py:298(_compile_and_eval)
        1    0.000    0.000    0.002    0.002 platform.py:1(<module>)
      461    0.000    0.000    0.002    0.000 core.py:522(copy)
        1    0.000    0.000    0.002    0.002 dates.py:1(<module>)
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
      554    0.001    0.000    0.002    0.000 enum.py:365(__setitem__)
      111    0.000    0.000    0.002    0.000 rcsetup.py:88(f)
        1    0.000    0.000    0.002    0.002 socket.py:1(<module>)
        3    0.000    0.000    0.002    0.001 _add_newdocs.py:1(<module>)
      325    0.000    0.000    0.002    0.000 function_base.py:497(add_newdoc)
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
       11    0.000    0.000    0.002    0.000 util.py:251(_inner)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
      595    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
        3    0.000    0.000    0.002    0.001 axis.py:469(__init__)
        1    0.000    0.000    0.002    0.002 ImagePalette.py:1(<module>)
        1    0.000    0.000    0.002    0.002 constrain.py:1(<module>)
        3    0.000    0.000    0.002    0.001 live.py:220(refresh)
      101    0.002    0.000    0.002    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.002    0.002 progress.py:1171(__exit__)
        1    0.000    0.000    0.002    0.002 progress.py:1161(stop)
      459    0.000    0.000    0.002    0.000 colors.py:221(is_color_like)
